t=2026-09-04T18:01:48+0530 lvl=info msg="no configuration paths supplied"
t=2026-09-04T18:01:48+0530 lvl=info msg="using configuration at default config path" path=/home/renegader/.config/ngrok/ngrok.yml
t=2026-09-04T18:01:48+0530 lvl=info msg="open config file" path=/home/renegader/.config/ngrok/ngrok.yml err=<nil>
t=2026-09-04T18:01:48+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-09-04T18:01:48+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-09-04T18:01:49+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-09-04T18:01:49+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=f10d67e54393 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=880f5b49bdb2 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=b23ea9493146 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=510ee31a95b7 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=433a967ca282 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=6a84fe7eafbe l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=e1351ef51d2d l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=43a5371d5453 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=76cafbab4db5 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=65c970fd0ae6 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=d45c15a22249 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=881b159ce2cb l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:38868
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=6c4e31e2bf32 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
